Id,SalePrice
1461,126725.7962
1462,166339.105
1463,192285.9512
1464,221387.5803
1465,166092.0477
1466,179863.7918
1467,180885.0058
1468,168221.7642
1469,208270.1482
1470,125365.8774
1471,194210.431
1472,105655.6484
1473,105053.1091
1474,140455.5989
1475,81409.74595
1476,325384.5374
1477,251432.9507
1478,293824.5268
1479,275769.3886
1480,450440.7491
1481,345516.5552
1482,229320.7248
1483,158243.5216
1484,173611.571
1485,181614.3706
1486,199466.6729
1487,347178.6092
1488,248112.4109
1489,166219.3822
1490,224524.2463
1491,192302.4892
1492,97103.46972
1493,233079.7287
1494,281010.7344
1495,284579.638
1496,235413.8159
1497,156862.0027
1498,163102.1156
1499,156798.3414
1500,155447.9409
1501,178995.3762
1502,140476.6592
1503,282168.4896
1504,251848.821
1505,227202.9435
1506,200763.8551
1507,254285.1543
1508,190874.9255
1509,167596.6661
1510,151361.6914
1511,140832.538
1512,149801.9358
1513,146144.8153
1514,161913.5506
1515,214531.9518
1516,155633.9239
1517,170032.3581
1518,124536.0837
1519,222398.8371
1520,129562.328
1521,130503.19
1522,177678.6032
1523,97476.72519
1524,110413.8351
1525,116974.7471
1526,97504.32744
1527,116184.7338
1528,148143.5354
1529,150066.1654
1530,186081.9602
1531,136516.7142
1532,104503.4122
1533,156050.3235
1534,118455.771
1535,156651.7875
1536,104442.334
1537,73817.90083
1538,165527.1612
1539,213069.9763
1540,119506.4666
1541,141096.746
1542,148122.7958
1543,207691.0555
1544,88128.70225
1545,116098.2401
1546,133350.4443
1547,143055.9548
1548,141333.4051
1549,123122.8342
1550,146359.1695
1551,115357.2102
1552,151660.4854
1553,151316.774
1554,115064.3397
1555,165042.9949
1556,77143.1933
1557,121293.6434
1558,96279.77758
1559,87752.4601
1560,141844.1446
1561,139238.2283
1562,128790.2632
1563,127771.3236
1564,161276.8882
1565,156958.8618
1566,230401.194
1567,78131.10541
1568,225999.9654
1569,134678.9379
1570,134248.7209
1571,115337.14
1572,145718.1641
1573,254674.4256
1574,131883.2555
1575,230730.9055
1576,238632.7363
1577,195367.0448
1578,146471.743
1579,139946.6258
1580,189395.8088
1581,149123.9697
1582,129665.7122
1583,318774.1754
1584,235599.3468
1585,139863.806
1586,78695.69267
1587,102247.102
1588,157405.7883
1589,100190.9575
1590,130028.7957
1591,103322.1355
1592,124211.1146
1593,123011.3134
1594,166317.7513
1595,124952.8388
1596,229660.8226
1597,181008.7468
1598,200193.6885
1599,196334.9172
1600,184840.7458
1601,69191.11646
1602,116380.198
1603,72184.55384
1604,280029.6685
1605,246874.9824
1606,164091.4593
1607,166118.8833
1608,209090.086
1609,197949.3346
1610,157537.8525
1611,141636.9981
1612,175198.4021
1613,167192.1433
1614,127982.1639
1615,90321.83664
1616,78786.62903
1617,86663.71066
1618,127444.8016
1619,144734.7571
1620,174551.0331
1621,138276.3088
1622,144392.4612
1623,283932.9348
1624,215644.2905
1625,122039.3355
1626,169891.7761
1627,186922.2487
1628,278137.9679
1629,178911.9787
1630,363151.1785
1631,232879.6782
1632,253099.6138
1633,172502.6728
1634,183347.7639
1635,177787.3913
1636,155097.8043
1637,191119.3633
1638,197686.5083
1639,179403.5642
1640,244821.0751
1641,178473.1554
1642,230660.3435
1643,227397.2614
1644,227962.0454
1645,200630.9831
1646,156124.3532
1647,152799.867
1648,133840.0016
1649,133363.4082
1650,113326.0164
